,GeoUID,Type,Region Name,Area (sq km),Population,Dwellings,Households,CSD_UID,CD_UID,CT_UID,CMA_UID,v_CA21_4237: Total - Private households by tenure,v_CA21_4238: Owner,v_CA21_4239: Renter,,"v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings",v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55),,v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59),,v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)
50,35300080,DA,35300080,0.091,444,175,172,3530016,3530,5410104,35541,185,145,40,,35,0,,1500,,1500
51,35300081,DA,35300081,0.1221,339,127,127,3530016,3530,5410104,35541,125,120,0,,0,NA,,NA,,NA
52,35300082,DA,35300082,0.2398,446,164,162,3530016,3530,5410104,35541,155,140,20,,25,0,,NA,,1600
53,35300084,DA,35300084,0.2397,646,293,286,3530016,3530,5410104,35541,295,160,135,,130,26.9,,1140,,1100
54,35300085,DA,35300085,0.1585,421,179,170,3530016,3530,5410104,35541,170,80,90,,85,35.3,,1000,,1080
55,35300086,DA,35300086,0.158,457,209,194,3530016,3530,5410104,35541,190,135,60,,60,0,,950,,1040
56,35300087,DA,35300087,1.7767,1607,690,674,3530016,3530,5410107.02,35541,700,590,110,,110,28.6,,1590,,1600
57,35300088,DA,35300088,0.4162,789,300,297,3530016,3530,5410107.01,35541,295,250,40,,45,0,,1620,,1600
58,35300089,DA,35300089,0.1355,343,136,135,3530016,3530,5410107.01,35541,135,100,30,,35,0,,1550,,1400
59,35300090,DA,35300090,0.075,236,93,92,3530016,3530,5410107.01,35541,95,90,0,,0,NA,,NA,,NA
60,35300091,DA,35300091,0.8582,799,365,353,3530016,3530,5410107.01,35541,345,285,60,,60,33.3,,1390,,1560
61,35300092,DA,35300092,0.1278,512,187,185,3530016,3530,5410108.02,35541,190,165,25,,25,0,,NA,,2400
62,35300095,DA,35300095,0.159,758,365,361,3530016,3530,5410108.02,35541,365,155,210,,215,27.9,,1580,,1540
63,35300096,DA,35300096,0.0883,496,208,203,3530016,3530,5410108.02,35541,205,145,60,,60,0,,1820,,1800
64,35300112,DA,35300112,0.2915,421,238,206,3530016,3530,5410103,35541,205,140,65,,70,35.7,,1200,,1080
65,35300116,DA,35300116,0.2224,538,233,227,3530016,3530,5410103,35541,230,220,10,,0,NA,,NA,,NA
66,35300117,DA,35300117,0.1771,536,254,247,3530016,3530,5410103,35541,250,150,105,,105,42.9,,1200,,1540
67,35300118,DA,35300118,0.1202,755,488,467,3530016,3530,5410103,35541,480,295,185,,185,54.1,,1100,,1300
68,35300119,DA,35300119,0.1578,398,242,217,3530016,3530,5410105,35541,210,45,165,,165,27.3,,1260,,1120
69,35300120,DA,35300120,0.2294,782,466,377,3530016,3530,5410102,35541,365,140,220,,225,33.3,,1170,,1240
70,35300121,DA,35300121,0.2085,539,346,297,3530016,3530,5410102,35541,260,45,215,,220,25.6,,1420,,1530
71,35300122,DA,35300122,0.3426,1086,633,570,3530016,3530,5410102,35541,565,200,365,,365,36.6,,1900,,1910
72,35300125,DA,35300125,0.1392,435,162,157,3530016,3530,5410100,35541,160,155,10,,0,NA,,NA,,NA
73,35300126,DA,35300126,0.0993,411,201,186,3530016,3530,5410100,35541,185,130,60,,55,27.3,,1410,,1700
74,35300127,DA,35300127,0.1817,468,207,201,3530016,3530,5410100,35541,205,150,50,,45,33.3,,1430,,1700
75,35300131,DA,35300131,0.0996,553,332,318,3530016,3530,5410103,35541,315,65,250,,255,29.4,,1250,,1320
76,35300132,DA,35300132,0.3568,1850,1227,1090,3530016,3530,5410102,35541,1105,470,635,,630,52.4,,1800,,1720
77,35300133,DA,35300133,0.2204,540,226,214,3530016,3530,5410103,35541,235,155,75,,80,25,,1290,,1320
78,35300265,DA,35300265,0.1585,994,356,350,3530016,3530,5410109.05,35541,360,75,285,,285,38.6,,1300,,1530
79,35300266,DA,35300266,0.0613,326,117,115,3530016,3530,5410109.05,35541,120,115,0,,0,NA,,NA,,NA
80,35300267,DA,35300267,0.1595,487,181,177,3530016,3530,5410109.05,35541,170,80,90,,90,22.2,,1080,,1060
81,35300268,DA,35300268,0.1733,672,200,196,3530016,3530,5410109.05,35541,205,165,45,,40,0,,820,,800
82,35300269,DA,35300269,0.1697,564,258,251,3530016,3530,5410109.05,35541,270,230,40,,40,0,,1800,,1600
83,35300273,DA,35300273,0.2031,801,296,295,3530016,3530,5410109.02,35541,290,245,50,,50,0,,1920,,1650
84,35300275,DA,35300275,0.1344,606,216,215,3530016,3530,5410109.02,35541,215,160,55,,55,0,,1120,,880
85,35300276,DA,35300276,0.1443,518,213,208,3530016,3530,5410109.02,35541,205,195,15,,0,NA,,NA,,NA
86,35300282,DA,35300282,0.7779,899,401,392,3530016,3530,5410100,35541,395,250,145,,150,36.7,,1140,,1120
87,35300283,DA,35300283,0.2833,674,284,265,3530016,3530,5410100,35541,265,225,45,,40,37.5,,1000,,960
88,35300285,DA,35300285,0.3257,1101,411,380,3530016,3530,5410100,35541,395,200,190,,190,23.7,,1440,,1350
89,35300286,DA,35300286,0.1322,1131,506,485,3530016,3530,5410101.01,35541,485,60,430,,430,31.4,,1040,,1120
90,35300287,DA,35300287,0.2231,762,358,311,3530016,3530,5410101.01,35541,325,100,225,,230,41.3,,1250,,1210
91,35300288,DA,35300288,0.1614,447,211,183,3530016,3530,5410101.04,35541,215,155,60,,65,53.8,,1780,,1750
92,35300289,DA,35300289,0.2475,1369,801,704,3530016,3530,5410101.01,35541,720,270,445,,445,37.6,,1270,,1365
93,35300290,DA,35300290,0.6681,1945,759,692,3530016,3530,5410101.01,35541,775,0,765,,770,42.2,,2220,,2184
94,35300291,DA,35300291,0.1671,560,279,245,3530016,3530,5410100,35541,240,145,90,,90,38.9,,1600,,1680
95,35300292,DA,35300292,0.2561,473,206,200,3530016,3530,5410100,35541,190,190,0,,0,NA,,NA,,NA
